burst_num,i,burst_pairs,offsets,delays,min_offset,min_delay,T1,T2,T3,T4
10,7,107,0.000377,0.000497,0.000377,0.000497,3888436461.4012427,3888436461.4018683,3888436461.401871,3888436461.401743
11,0,110,0.000386,0.000777,0.000372,0.000498,3888436701.397009,3888436701.3977833,3888436701.397793,3888436701.3977957
11,1,111,0.000359,0.000563,0.000372,0.000498,3888436701.397809,3888436701.39845,3888436701.398453,3888436701.3983755
11,2,112,0.000353,0.000544,0.000372,0.000498,3888436701.398383,3888436701.3990083,3888436701.399011,3888436701.39893
11,3,113,0.00035,0.000549,0.000372,0.000498,3888436701.398937,3888436701.399562,3888436701.3995647,3888436701.3994894
11,4,114,0.000329,0.000615,0.000372,0.000498,3888436701.399497,3888436701.400133,3888436701.400136,3888436701.400115
11,5,115,0.000353,0.000563,0.000372,0.000498,3888436701.4001226,3888436701.400757,3888436701.400759,3888436701.400688
11,6,116,0.000365,0.000568,0.000372,0.000498,3888436701.4006953,3888436701.4013443,3888436701.4013834,3888436701.4013023
11,7,117,0.000372,0.000498,0.000372,0.000498,3888436701.401309,3888436701.4019303,3888436701.4019327,3888436701.4018097
12,0,120,0.000411,0.000757,0.00037,0.000461,3888436941.3970146,3888436941.397804,3888436941.3978133,3888436941.3977814
12,1,121,0.000338,0.000545,0.00037,0.000461,3888436941.3977947,3888436941.3984056,3888436941.3984084,3888436941.3983426
12,2,122,0.00037,0.000461,0.00037,0.000461,3888436941.39835,3888436941.39895,3888436941.398953,3888436941.3988132
12,3,123,0.000345,0.000527,0.00037,0.000461,3888436941.3988204,3888436941.3994284,3888436941.399431,3888436941.39935
12,4,124,0.000313,0.000474,0.00037,0.000461,3888436941.399357,3888436941.399907,3888436941.39991,3888436941.3998337
12,5,125,0.000342,0.000528,0.00037,0.000461,3888436941.3998413,3888436941.400448,3888436941.4004507,3888436941.4003725
12,6,126,0.000326,0.000498,0.00037,0.000461,3888436941.4003797,3888436941.400955,3888436941.400958,3888436941.400881
12,7,127,0.000386,0.000547,0.00037,0.000461,3888436941.400888,3888436941.401547,3888436941.4015503,3888436941.401438
13,0,130,0.000368,0.00071,0.000376,0.000483,3888437181.3970766,3888437181.397799,3888437181.397809,3888437181.397796
13,1,131,0.000334,0.000569,0.000376,0.000483,3888437181.397813,3888437181.398432,3888437181.3984346,3888437181.398385
13,2,132,0.000356,0.000529,0.000376,0.000483,3888437181.3983917,3888437181.3990126,3888437181.3990154,3888437181.398924
13,3,133,0.000377,0.000509,0.000376,0.000483,3888437181.398931,3888437181.399563,3888437181.3995657,3888437181.3994427
13,4,134,0.000358,0.000577,0.000376,0.000483,3888437181.3994493,3888437181.400096,3888437181.400099,3888437181.400029
13,5,135,0.000322,0.000581,0.000376,0.000483,3888437181.400037,3888437181.400649,3888437181.400652,3888437181.4006205
13,6,136,0.000335,0.000599,0.000376,0.000483,3888437181.400627,3888437181.4012613,3888437181.401264,3888437181.401229
13,7,137,0.000376,0.000483,0.000376,0.000483,3888437181.4012365,3888437181.4018545,3888437181.4018574,3888437181.4017224
14,0,140,0.000393,0.000685,0.000371,0.000505,3888437421.397009,3888437421.3977447,3888437421.3977547,3888437421.397704
14,1,141,0.000371,0.000573,0.000371,0.000505,3888437421.3977175,3888437421.3983755,3888437421.3983793,3888437421.3982944
14,2,142,0.000354,0.000546,0.000371,0.000505,3888437421.398302,3888437421.3989286,3888437421.3989315,3888437421.398851
14,3,143,0.000371,0.000505,0.000371,0.000505,3888437421.398858,3888437421.3994813,3888437421.399484,3888437421.3993664
14,4,144,0.000368,0.00059,0.000371,0.000505,3888437421.3993735,3888437421.400037,3888437421.4000397,3888437421.3999667
14,5,145,0.000344,0.000574,0.000371,0.000505,3888437421.399974,3888437421.4006047,3888437421.4006076,3888437421.400551
14,6,146,0.00036,0.000516,0.000371,0.000505,3888437421.4005575,3888437421.401176,3888437421.401179,3888437421.4010763
14,7,147,0.000336,0.000546,0.000371,0.000505,3888437421.401082,3888437421.4016905,3888437421.4016933,3888437421.4016304
15,0,150,0.000386,0.000731,0.000397,0.000432,3888437661.397018,3888437661.39777,3888437661.39778,3888437661.3977594
15,1,151,0.000358,0.000567,0.000397,0.000432,3888437661.3977747,3888437661.398416,3888437661.3984194,3888437661.398345
15,2,152,0.000379,0.000514,0.000397,0.000432,3888437661.398352,3888437661.398988,3888437661.3989906,3888437661.3988686
15,3,153,0.00036,0.000552,0.000397,0.000432,3888437661.398875,3888437661.3995113,3888437661.399514,3888437661.3994303
15,4,154,0.00038,0.000535,0.000397,0.000432,3888437661.399438,3888437661.4000854,3888437661.4000883,3888437661.399976
15,5,155,0.000363,0.000519,0.000397,0.000432,3888437661.3999834,3888437661.400606,3888437661.400609,3888437661.400505
15,6,156,0.00035,0.000537,0.000397,0.000432,3888437661.4005117,3888437661.4011297,3888437661.401133,3888437661.401052
15,7,157,0.000397,0.000432,0.000397,0.000432,3888437661.401061,3888437661.4016743,3888437661.401677,3888437661.4014964
