burst_num,i,burst_pairs,offsets,delays,min_offset,min_delay,T1,T2,T3,T4
7,0,70,0.109982,0.061982,0.102113,0.037761,3888347004.863306,3888347005.004279,3888347005.0042844,3888347004.925293
7,1,71,0.101286,0.037789,0.102113,0.037761,3888347004.9253397,3888347005.04552,3888347005.045527,3888347004.9631357
7,2,72,0.101331,0.038152,0.102113,0.037761,3888347004.963152,3888347005.083559,3888347005.083564,3888347005.001309
7,3,73,0.102113,0.037761,0.102113,0.037761,3888347005.001321,3888347005.122314,3888347005.122328,3888347005.039096
7,4,74,0.101805,0.039058,0.102113,0.037761,3888347005.039123,3888347005.160457,3888347005.1604624,3888347005.078186
7,5,75,0.101453,0.037839,0.102113,0.037761,3888347005.078211,3888347005.198583,3888347005.198597,3888347005.116064
7,6,76,0.102463,0.039139,0.102113,0.037761,3888347005.1160917,3888347005.238124,3888347005.238142,3888347005.1552486
7,7,77,0.1015,0.037841,0.102113,0.037761,3888347005.1552696,3888347005.27569,3888347005.275696,3888347005.193116
8,0,80,0.107453,0.075109,0.095174,0.048078,3888347244.8630257,3888347245.008033,3888347245.008071,3888347244.938173
8,1,81,0.096159,0.049948,0.095174,0.048078,3888347244.938205,3888347245.0593376,3888347245.0593996,3888347244.988215
8,2,82,0.095638,0.049835,0.095174,0.048078,3888347244.9882326,3888347245.108788,3888347245.1088123,3888347245.038092
8,3,83,0.095174,0.048078,0.095174,0.048078,3888347245.0381203,3888347245.1573334,3888347245.157371,3888347245.086236
8,4,84,0.095387,0.049713,0.095174,0.048078,3888347245.08629,3888347245.2065334,3888347245.2066603,3888347245.1361294
8,5,85,0.096665,0.052407,0.095174,0.048078,3888347245.136169,3888347245.2590375,3888347245.2590528,3888347245.188591
8,6,86,0.095996,0.049538,0.095174,0.048078,3888347245.188626,3888347245.3093905,3888347245.30941,3888347245.238183
8,7,87,0.095295,0.050886,0.095174,0.048078,3888347245.2382307,3888347245.3589687,3888347245.3590655,3888347245.289213
9,0,90,0.11817,0.121993,0.105342,0.095979,3888347484.86316,3888347485.0423265,3888347485.0424576,3888347484.985284
9,1,91,0.105647,0.09621,0.105342,0.095979,3888347484.98532,3888347485.139072,3888347485.1390996,3888347485.0815573
9,2,92,0.106176,0.096602,0.105342,0.095979,3888347485.081623,3888347485.2361,3888347485.2361417,3888347485.1782665
9,3,93,0.105451,0.096582,0.105342,0.095979,3888347485.178336,3888347485.332078,3888347485.3321433,3888347485.274984
9,4,94,0.105191,0.096206,0.105342,0.095979,3888347485.275025,3888347485.4283185,3888347485.428353,3888347485.371265
9,5,95,0.105003,0.096055,0.105342,0.095979,3888347485.371305,3888347485.524336,3888347485.524362,3888347485.4673862
9,6,96,0.104958,0.097779,0.105342,0.095979,3888347485.467463,3888347485.62131,3888347485.6213408,3888347485.5652723
9,7,97,0.105342,0.095979,0.105342,0.095979,3888347485.565353,3888347485.718684,3888347485.7187085,3888347485.661356
10,0,100,0.132995,0.115289,0.110788,0.069674,3888347724.8630323,3888347725.0536714,3888347725.053684,3888347724.978334
10,1,101,0.110279,0.072413,0.110788,0.069674,3888347724.978363,3888347725.1248484,3888347725.12486,3888347725.050788
10,2,102,0.109818,0.072043,0.110788,0.069674,3888347725.050881,3888347725.19672,3888347725.196732,3888347725.1229362
10,3,103,0.108863,0.074429,0.110788,0.069674,3888347725.122986,3888347725.269063,3888347725.2690783,3888347725.19743
10,4,104,0.108646,0.075951,0.110788,0.069674,3888347725.197507,3888347725.344128,3888347725.3441467,3888347725.273476
10,5,105,0.110809,0.070156,0.110788,0.069674,3888347725.273588,3888347725.4194746,3888347725.419488,3888347725.343757
10,6,106,0.119149,0.094882,0.110788,0.069674,3888347725.3438377,3888347725.510428,3888347725.5104413,3888347725.438733
10,7,107,0.110788,0.069674,0.110788,0.069674,3888347725.438816,3888347725.5844407,3888347725.5844536,3888347725.508503
11,0,110,0.068093,0.081071,0.055456,0.0548,3888347964.863308,3888347964.971936,3888347964.972045,3888347964.944488
11,1,111,0.055456,0.0548,0.055456,0.0548,3888347964.944539,3888347965.027395,3888347965.0275145,3888347964.9994583
11,2,112,0.048552,0.069063,0.055456,0.0548,3888347964.999475,3888347965.082558,3888347965.0826,3888347965.06858
11,3,113,0.058432,0.061557,0.055456,0.0548,3888347965.068621,3888347965.1578317,3888347965.1578646,3888347965.130211
11,4,114,0.055907,0.055118,0.055456,0.0548,3888347965.130253,3888347965.2137194,3888347965.2138195,3888347965.185471
11,5,115,0.055475,0.055765,0.055456,0.0548,3888347965.1854973,3888347965.268855,3888347965.269005,3888347965.241412
11,6,116,0.055171,0.055034,0.055456,0.0548,3888347965.241433,3888347965.3241215,3888347965.324195,3888347965.2965403
